OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUID
30200020004120	MOD	OB_L12S.4U	30220450506912	3	200	HPK	436249657	5632031
30200020004121	MOD	OB_L12S.4U	30220450506825	2	250	HPK	436249449	8123707
30200020004121	MOD	OB_L12S.4U	30220450506911	3	210	HPK	436249449	8123707
30200020004122	MOD	OB_L12S.4U	30220450506826	2	240	HPK	436249457	5633463
30200020004122	MOD	OB_L12S.4U	30220450506910	3	200	HPK	436249457	5633463
30200020004123	MOD	OB_L12S.4U	30220450506827	2	230	HPK	436228301	8125851
30200020004123	MOD	OB_L12S.4U	30220450506909	3	240	HPK	436228301	8125851
30200020004124	MOD	OB_L12S.4U	30220450506828	2	240	HPK	436249465	16118375
30200020004124	MOD	OB_L12S.4U	30220450506907	3	250	HPK	436249465	16118375
30200020004125	MOD	OB_L12S.4U	30220450506829	2	230	HPK	436248713	6027919
30200020004125	MOD	OB_L12S.4U	30220450506906	3	240	HPK	436248713	6027919
30200020004126	MOD	OB_L12S.4U	30220450506830	2	240	HPK	436248721	5897319
30200020004126	MOD	OB_L12S.4U	30220450506905	3	250	HPK	436248721	5897319
30200020004128	MOD	OB_L12S.4U	30220450506832	2	224.056	ROCHESTER	436248729	8254219
30200020004128	MOD	OB_L12S.4U	30220450506903	3	250	HPK	436248729	8254219
30200020004129	MOD	OB_L12S.4U	30220450506901	2	250	HPK	436249193	8057575
30200020004129	MOD	OB_L12S.4U	30220450506902	3	240	HPK	436249193	8057575
30200020004130	MOD	OB_L12S.4D	30220451612710	2	196.83	PISA	436228625	16710555
30200020004130	MOD	OB_L12S.4D	30220452014443	3	194.44	PISA	436228625	16710555
30200020004131	MOD	OB_L12S.4D	30220451612715	2	189.47	PISA	436228633	6225551
30200020004131	MOD	OB_L12S.4D	30220452014434	3	198.4	PISA	436228633	6225551
30200020004132	MOD	OB_L12S.4D	30220452014421	2	187.46	PISA	436249669	14612851
30200020004132	MOD	OB_L12S.4D	30220452014441	3	190.71	PISA	436249669	14612851
30200020004133	MOD	OB_L12S.4D	30220452014424	2	188.92	PISA	436229233	8058351
30200020004133	MOD	OB_L12S.4D	30220452014429	3	189.29	PISA	436229233	8058351
30200020004134	MOD	OB_L12S.4D	30220451612701	2	216.76	PISA	436229241	3406775
30200020004134	MOD	OB_L12S.4D	30220452014445	3	222	HPK	436229241	3406775
30200020004135	MOD	OB_L12S.4D	30220451612702	2	228	HPK	436228809	14021047
30200020004135	MOD	OB_L12S.4D	30220452014444	3	226	HPK	436228809	14021047
30200020004136	MOD	OB_L12S.4D	30220451612703	2	203	HPK	436228817	8124007
30200020004136	MOD	OB_L12S.4D	30220452014442	3	227	HPK	436228817	8124007
30200020004137	MOD	OB_L12S.4D	30220451612704	2	239	HPK	436228825	3537591
30200020004137	MOD	OB_L12S.4D	30220452014439	3	222	HPK	436228825	3537591
30200020004138	MOD	OB_L12S.4D	30220451612705	2	213.77	PISA	436228457	3602103
30200020004138	MOD	OB_L12S.4D	30220452014438	3	214	HPK	436228457	3602103
30200020004139	MOD	OB_L12S.4D	30220451612706	2	211	HPK	436228465	5502647
30200020004139	MOD	OB_L12S.4D	30220452014437	3	228	HPK	436228465	5502647
30200020004140	MOD	OB_L12S.4D	30220451612707	2	247	HPK	436228473	16121147
30200020004140	MOD	OB_L12S.4D	30220452014436	3	230	HPK	436228473	16121147
30200020004141	MOD	OB_L12S.4D	30220451612708	2	228	HPK	436229289	5634231
30200020004141	MOD	OB_L12S.4D	30220452014435	3	205	HPK	436229289	5634231
30200020004142	MOD	OB_L12S.4D	30220451612709	2	235	HPK	436229297	7795979
30200020004142	MOD	OB_L12S.4D	30220452014433	3	212	HPK	436229297	7795979
30200020004143	MOD	OB_L12S.4D	30220451612711	2	229	HPK	436229305	11793675
30200020004143	MOD	OB_L12S.4D	30220452014432	3	203	HPK	436229305	11793675
30200020004144	MOD	OB_L12S.4D	30220451612712	2	209	HPK	436250125	11793011
30200020004144	MOD	OB_L12S.4D	30220452014431	3	215	HPK	436250125	11793011
30200020004145	MOD	OB_L12S.4D	30220451612713	2	243	HPK	436250133	5895607
30200020004145	MOD	OB_L12S.4D	30220452014427	3	205	HPK	436250133	5895607
30200020004146	MOD	OB_L12S.4D	30220451612714	2	229	HPK	436248773	7601779
30200020004146	MOD	OB_L12S.4D	30220452014425	3	213	HPK	436248773	7601779
30200020004147	MOD	OB_L12S.4D	30220451612716	2	213	HPK	436248837	14613151
30200020004147	MOD	OB_L12S.4D	30220452014423	3	209	HPK	436248837	14613151
30200020004148	MOD	OB_L12S.4D	30220451612717	2	222	HPK	436229465	14545267
30200020004148	MOD	OB_L12S.4D	30220452014422	3	208	HPK	436229465	14545267
30200020004149	MOD	OB_L12S.4D	30220451612718	2	234	HPK	436248845	11796083
30200020004149	MOD	OB_L12S.4D	30220452014420	3	208	HPK	436248845	11796083
30200020004150	MOD	OB_L12S.4D	30220451612719	2	227	HPK	436248853	5960015
30200020004150	MOD	OB_L12S.4D	30220451612740	3	250	HPK	436248853	5960015
30200020004151	MOD	OB_L12S.4D	30220451612720	2	200.48	PISA	436248781	16250379
30200020004151	MOD	OB_L12S.4D	30220451612738	3	241	HPK	436248781	16250379
30200020004152	MOD	OB_L12S.4D	30220451612721	2	222	HPK	436248789	12513547
30200020004152	MOD	OB_L12S.4D	30220451612737	3	246	HPK	436248789	12513547
30200020004153	MOD	OB_L12S.4D	30220451612722	2	233	HPK	436249413	14349579
30200020004153	MOD	OB_L12S.4D	30220451612736	3	220.1	PISA	436249413	14349579
30200020004154	MOD	OB_L12S.4D	30220451612723	2	254	HPK	436249421	13891187
30200020004154	MOD	OB_L12S.4D	30220451612735	3	242	HPK	436249421	13891187
30200020004155	MOD	OB_L12S.4D	30220451612724	2	205	HPK	436249429	3603059
30200020004155	MOD	OB_L12S.4D	30220451612734	3	247	HPK	436249429	3603059
30200020004156	MOD	OB_L12S.4D	30220451612725	2	200.52	PISA	436249077	4061935
30200020004156	MOD	OB_L12S.4D	30220451612732	3	256	HPK	436249077	4061935
30200020004157	MOD	OB_L12S.4D	30220451612726	2	217	HPK	436249701	14613619
30200020004157	MOD	OB_L12S.4D	30220451612731	3	231	HPK	436249701	14613619
30200020004158	MOD	OB_L12S.4D	30220451612727	2	231	HPK	436249709	16645435
30200020004158	MOD	OB_L12S.4D	30220451612730	3	205.19	PISA	436249709	16645435
30200020004159	MOD	OB_L12S.4D	30220451612728	2	211	HPK	436249717	7598603
30200020004159	MOD	OB_L12S.4D	30220451612729	3	221	HPK	436249717	7598603
30200020004161	MOD	OB_L12S.4U	30220451511901	2	241	HPK	436246005	14087067
30200020004161	MOD	OB_L12S.4U	30220451512008	3	213.91	PISA	436246005	14087067
30200020004162	MOD	OB_L12S.4U	30220451511902	2	220	HPK	436248873	14286007
30200020004162	MOD	OB_L12S.4U	30220451512037	3	253	HPK	436248873	14286007
