470443689	252.5
470443690	270
470443716	189.97
470443720	193.11
470443724	185
470443728	185
470443748	156.22
470443752	150.125
470443756	150.91
470443760	153.35
470443764	154.675
470443908	158.39
470443912	160
470443916	150
470443920	170
470443941	256.755
470443942	249.76
470443945	253.24
470443946	246.495
470443972	187.5
470443976	197.5
470443980	195
470438276	199.29
470438280	194.18
470438284	154.05
470438309	130.12
470438310	173.215
470438313	128.38
470438314	218.895
470438317	147.67
470438318	174
470438340	215.5
470438344	181
470438348	187
470438372	151.59
470438376	179.385
470438380	151.025
470438384	147.755
470438388	149.765
470438532	171
470438536	173
470438540	220
470438565	257.825
470438566	224.4
470438569	244.96
470438570	213.42
470438573	250.9
470438574	220.655
470438596	183.86
470438600	165
470438604	232.5
470438628	262.415
470438632	155.855
470438636	164.935
470438640	120.45
470438644	142.52
470438788	151.86
470438792	167
470438796	238
470438821	195
470438822	205
470438825	189
470438826	248.5
470438829	194
470438830	207.5
470438852	230.6355
470438856	177.5
470438860	185
470438884	164.585
470438888	170
470438892	175
470438896	175
470438900	136.39
470439044	220
470439048	231
470439052	230
470439077	220
470439078	215
470439081	220
470439082	215
470439085	220
470439086	215
470439108	185
470439112	187
470439116	190
470439140	249.35
470439144	246.5
470439148	225
470439152	227.5
470439156	240
470439300	173
470439304	168
470439308	172
470439333	241
470439334	195
470439337	238
470439338	190
470439341	235
470439342	190
470439364	240.5
470439368	188
470439372	234.5
470439396	177.26
470439400	190
470439404	195
470439408	190
470439412	195
470439556	146.13
470439560	129.86
470439564	160
470439589	187.855
470439590	186.18
470439593	171.45
470439594	185.085
470439597	162.37
470439598	182.455
470439620	240
470439624	210.5
470439628	159.67
470439652	160.525
470439656	137.64
470439660	137.58
470439664	211.985
470439668	182.065
470439812	156.91
470439816	193.25
470439820	199.01
470439845	156.84
470439846	142.08
470439849	147.52
470439850	180.73
470439853	160.795
470439854	158.965
470439876	185
470439880	179
470439884	198.17
470439908	171.06
470439912	157
470439916	129
470439920	127.5
470439924	229.475
470444004	139.11
470444008	145.985
470444012	127.5
470444016	130.5
470444020	130.855
470444164	160
470444168	160
470444172	160
470444176	160
470444197	225
470444198	244.5
470444201	220
470444202	245
470444228	200
470444232	200
470444236	215
470444240	209.708
470444260	170
470444264	175
470444268	175
470444272	175
470444276	170
470181000	190
470181004	170
470181008	190
470181029	195
470181030	195
470181033	196
470181034	197
470181060	225
470181064	220
470181068	220
470181072	220
470181092	210.74
470181096	197.775
470181100	250.09
470181104	194.21
470181108	231.33
470181252	160
470181256	150
470181260	160
470181264	150
470181285	189.5
470181286	200
470181289	190
470181290	190
470181316	190.5
470181320	191.5
470181324	194
470181328	196.5
470181348	186.58
470181352	192.76
470181356	186.27
470181360	198.145
470181364	192.6
470181508	150
470181512	168.07
470181516	160
470181520	123.44
470181541	195
470181542	230.395
470181545	220
470181546	182.275
470181572	225
470181576	215
470181580	225
470181584	215
470181604	211.57
470181608	220.535
470181612	249.815
470181616	246.2
470181620	243.305
470181764	170
470181768	170
470181772	170
470181776	170
470181797	180
470181798	185
470181801	180
470181802	185
470181828	197
470181832	197.5
470181836	194
470181840	210
470181860	178.825
470181864	269.125
470181868	171.96
470181872	179.625
470181876	238.445
470182020	190
470182024	190
470182028	190
470182032	190
470182053	202.575
470182054	200
470182057	180
470182058	195
470182084	195
470182088	195
470182092	170
470182096	190
470182116	123.32
470182120	136.975
470182124	113.5
470182128	117.765
470182132	123.19
